Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,AUTH: signIn,50,0,8800.0,7845.476070819933,1400.5878050011233,11270.275576000131,52.0,1.1299385349368267,0.0,8800,9300,10000,10000,11000,11000,11000,11000,11000,11000,11000
POST,AUTH: signUp,50,0,5600.0,5702.043921279837,303.6350450020109,11053.305858000385,40.0,1.1299385349368267,0.0,5800,7600,8500,9100,10000,11000,11000,11000,11000,11000,11000
POST,BUY: create,70,0,1800.0,2082.518407814132,1294.1719469999953,11264.370649001648,41.285714285714285,1.5819139489115575,0.0,1800,1900,1900,1900,2200,4100,8800,11000,11000,11000,11000
GET,BUY: list,20,0,1700.0,1900.8009254497665,1317.075038998155,5374.506402997213,60.9,0.4519754139747307,0.0,1700,1800,1900,2000,2300,5400,5400,5400,5400,5400,5400
POST,COMPANY: create,50,0,6200.0,6327.513956920011,2003.2316120014002,11023.649064998608,43.0,1.1299385349368267,0.0,6600,7900,8800,9100,10000,11000,11000,11000,11000,11000,11000
GET,COMPANY: list,53,0,1800.0,1971.7162788114158,1277.2432630008552,11263.552131000324,7402.754716981132,1.1977348470330362,0.0,1800,1800,1900,1900,2000,2100,4200,11000,11000,11000,11000
GET,COMPANY: list (bootstrap),50,0,1900.0,4062.3778694396606,1643.8962309985072,11251.9801189992,6739.24,1.1299385349368267,0.0,2000,5300,6500,7500,8800,10000,11000,11000,11000,11000,11000
GET,COMPANY: rates,29,0,1900.0,2047.1916300339217,1363.9290549981524,6982.4585749993275,10631.655172413793,0.6553643502633595,0.0,1900,1900,2000,2100,2300,3100,7000,7000,7000,7000,7000
POST,SELL: create,65,0,1800.0,1982.8546308458988,1227.6869140005147,10112.08706600155,41.353846153846156,1.4689200954178747,0.0,1800,1900,2000,2000,2100,2300,6000,10000,10000,10000,10000
GET,SELL: list,20,0,1800.0,2242.9488708999997,1362.6472479991207,7641.9196679999,66.85,0.4519754139747307,0.0,1800,1800,1900,2100,6500,7600,7600,7600,7600,7600,7600
,Aggregated,457,0,1900.0,3759.9057909188764,303.6350450020109,11270.275576000131,2303.0831509846826,10.327638209322597,0.0,1900,3200,5600,6900,9300,10000,11000,11000,11000,11000,11000
